,Date,Open,High,Low,Close
744,2022-04-22,0.5,0.5,0.5,0.5
743,2022-04-21,0.5696,0.5696,0.5696,0.5696
742,2022-04-20,0.5696,0.5696,0.5696,0.5696
741,2022-04-19,0.5696,0.5696,0.5696,0.5696
740,2022-04-18,0.5696,0.5696,0.5696,0.5696
739,2022-04-14,0.5697,0.5698,0.5696,0.5696
738,2022-04-13,0.48,0.48,0.48,0.48
737,2022-04-12,0.48,0.48,0.48,0.48
736,2022-04-11,0.5349,0.5349,0.48,0.48
735,2022-04-08,0.5699,0.5699,0.5699,0.5699
734,2022-04-07,0.5699,0.5699,0.5699,0.5699
733,2022-04-06,0.5699,0.5699,0.5699,0.5699
732,2022-04-05,0.5699,0.5699,0.5699,0.5699
731,2022-04-04,0.5699,0.5699,0.5699,0.5699
730,2022-04-01,0.5699,0.5699,0.5699,0.5699
729,2022-03-31,0.5199,0.5199,0.5199,0.5199
728,2022-03-30,0.5199,0.5199,0.5199,0.5199
727,2022-03-29,0.5199,0.5199,0.5199,0.5199
726,2022-03-28,0.5699,0.57,0.5199,0.5199
725,2022-03-25,0.5198,0.5198,0.5198,0.5198
724,2022-03-24,0.5198,0.5198,0.5198,0.5198
723,2022-03-23,0.5199,0.5199,0.5198,0.5198
722,2022-03-22,0.3901,0.3901,0.3901,0.3901
721,2022-03-21,0.3901,0.3901,0.3901,0.3901
720,2022-03-18,0.52,0.5201,0.3009,0.3901
719,2022-03-17,0.51,0.51,0.51,0.51
718,2022-03-16,0.51,0.51,0.51,0.51
717,2022-03-15,0.51,0.51,0.51,0.51
716,2022-03-14,0.51,0.51,0.51,0.51
715,2022-03-11,0.51,0.51,0.51,0.51
714,2022-03-10,0.51,0.51,0.51,0.51
713,2022-03-09,0.57,0.57,0.57,0.57
712,2022-03-08,0.5649,0.5649,0.5649,0.5649
711,2022-03-07,0.5649,0.5649,0.5649,0.5649
710,2022-03-04,0.5649,0.5649,0.5649,0.5649
709,2022-03-03,0.6,0.6001,0.56,0.5601
708,2022-03-02,0.6,0.6,0.6,0.6
707,2022-03-01,0.6,0.6,0.6,0.6
706,2022-02-28,0.6,0.6,0.6,0.6
705,2022-02-25,0.67,0.67,0.67,0.67
704,2022-02-24,0.67,0.67,0.67,0.67
703,2022-02-23,0.67,0.67,0.67,0.67
702,2022-02-22,0.67,0.67,0.67,0.67
701,2022-02-18,0.67,0.67,0.67,0.67
700,2022-02-17,0.6998,0.6999,0.67,0.67
699,2022-02-16,0.5701,0.5701,0.5701,0.5701
698,2022-02-15,0.5701,0.5701,0.5701,0.5701
697,2022-02-14,0.63,0.63,0.5701,0.5701
696,2022-02-11,0.6302,0.6302,0.6302,0.6302
695,2022-02-10,0.6302,0.6302,0.6302,0.6302
694,2022-02-09,0.6302,0.6302,0.6302,0.6302
693,2022-02-08,0.6301,0.6301,0.6301,0.6301
692,2022-02-07,0.6221,0.6221,0.6221,0.6221
